run_accession	scientific_name	sample_lat	sample_lon	biome	mapping	Assembling
SRR1702555	rat_gut	1.302796	103.792623	Animals	Yes	Yes
SRR1702556	rat_gut	1.302794	103.792623	Animals	Yes	Yes
SRR4254097	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR4254089	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR1702559	rat_gut	1.302796	103.792623	Animals	Yes	Yes
SRR10303780	rat_gut	23.116583	113.181785	Animals	Yes	Yes
SRR10303784	rat_gut	23.116583	113.181785	Animals	Yes	Yes
SRR4253681	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR10303785	rat_gut	23.116583	113.181785	Animals	Yes	Yes
SRR1702560	rat_gut	1.302796	103.792623	Animals	Yes	Yes
SRR1702558	rat_gut	1.302796	103.792623	Animals	Yes	Yes
SRR4254087	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR10303781	rat_gut	23.116583	113.181785	Animals	Yes	Yes
SRR10303782	rat_gut	23.116583	113.181785	Animals	Yes	Yes
SRR4254093	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR10303783	rat_gut	23.116583	113.181785	Animals	Yes	Yes
SRR4254083	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR4254094	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR4254084	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR4254080	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR4254098	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR4254082	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR1702554	rat_gut	1.302794	103.792623	Animals	Yes	Yes
SRR1702557	rat_gut	1.302796	103.792623	Animals	Yes	Yes
SRR4253502	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR4254095	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR5468116	riverine	37.0516	-76.083	Freshwater	Yes	Yes
DRR099836	riverine	35.650063	39.465657	Freshwater	Yes	Yes
DRR099830	riverine	35.650063	39.465657	Freshwater	Yes	Yes
SRR850456	riverine	22.77	113.62	Freshwater	Yes	Yes
SRR5457061	riverine	39.124826	-75.260873	Freshwater	Yes	Yes
SRR5278611	riverine	39.719	20.604	Freshwater	Yes	Yes
SRR1039496	riverine	44.917867	-93.128967	Freshwater	Yes	Yes
SRR1047947	riverine	22.32	114.17	Freshwater	Yes	Yes
SRR8075955	riverine	29.719072	-84.981177	Freshwater	Yes	Yes
DRR099837	riverine	35.650063	39.465657	Freshwater	Yes	Yes
SRR5579952	riverine	39.12	-75.25	Freshwater	Yes	Yes
SRR1047949	riverine	22.32	114.17	Freshwater	Yes	Yes
DRR099826	riverine	35.650063	39.465657	Freshwater	Yes	Yes
SRR5580653	riverine	39.12	-75.25	Freshwater	Yes	Yes
SRR1022353	riverine	22.32	114.17	Freshwater	Yes	Yes
SRR9275568	riverine	18.78971	-99.23337	Freshwater	Yes	Yes
SRR1515032	riverine	-3.685389	-61.470531	Freshwater	Yes	Yes
SRR5579951	riverine	39.12	-75.25	Freshwater	Yes	Yes
SRR5278610	riverine	39.7127	20.814	Freshwater	Yes	Yes
SRR1044924	riverine	44.917867	-93.128967	Freshwater	Yes	Yes
DRR099838	riverine	35.650063	39.465657	Freshwater	Yes	Yes
SRR1044682	riverine	44.917867	-93.128967	Freshwater	Yes	Yes
SRR5278612	riverine	39.7255	20.615	Freshwater	Yes	Yes
SRR1039488	riverine	44.917867	-93.128967	Freshwater	Yes	Yes
SRR1039482	riverine	44.917867	-93.128967	Freshwater	Yes	Yes
SRR1039498	riverine	44.917867	-93.128967	Freshwater	Yes	Yes
SRR1518285	riverine	-4.135564	-63.498525	Freshwater	Yes	Yes
SRR835363	riverine	22.77	113.62	Freshwater	Yes	Yes
DRR099841	riverine	35.650063	39.465657	Freshwater	Yes	Yes
SRR1047946	riverine	22.32	114.17	Freshwater	Yes	Yes
SRR9006805	sheep_gut	-40.3794	175.6106	Animals	Yes	Yes
SRR9006729	sheep_gut	-40.3794	175.6106	Animals	Yes	Yes
