ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
LiJ_2014__V1.FI28.part-2_660	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
LiJ_2014__V1.FI28.part-2_7332	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID133_M_4132	Viruses	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	Cucumber mottle virus
KarlssonFH_2013__S144.part-1_6715	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
AsnicarF_2017__MV_FEM2_t1Q14_1445	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Planktothrix phage PaV-LD
ZeeviD_2015__PNP_Main_712.part-1_297	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Samwavirus	NA
AsnicarF_2017__MV_FEM4_t2Q15_4188	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	NA	NA	NA	NA
KarlssonFH_2013__S144.part-1_4138	Viruses	NA	NA	NA	NA	NA	NA	NA
ChengpingW_2017__AS71raw.part-1_3830	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
LoombaR_2017__SID0012_qdz.part-1_520_fragment_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID128_M_170	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Phaeovirus	Ectocarpus siliculosus virus 1
